DName2016,CName2016,SName2016,PName2016,LAT,LON
KAMPALA,KAMPALA CAPITAL CITY,KAWEMPE,BWAISE I,0.36013370362,32.56630596030
KAMPALA,KAMPALA CAPITAL CITY,CENTRAL,KOLOLO IV,0.32660570639,32.59403392580
KAMPALA,KAMPALA CAPITAL CITY,CENTRAL,KOLOLO II,0.33580020118,32.59102870320
KAMPALA,KAMPALA CAPITAL CITY,NAKAWA,NABISUNSA,0.34982676262,32.63280703520
KAMPALA,KAMPALA CAPITAL CITY,RUBAGA,NAMIREMBE,0.31703063830,32.55873461570
KAMPALA,KAMPALA CAPITAL CITY,KAWEMPE,KAZO,0.37338653411,32.55499431710
KAMPALA,KAMPALA CAPITAL CITY,KAWEMPE,BWAISE III,0.35262970437,32.55740232000
KAMPALA,KAMPALA CAPITAL CITY,CENTRAL,KOLOLO I,0.33692491423,32.59670416120
KAMPALA,KAMPALA CAPITAL CITY,RUBAGA,KABOWA,0.28707138122,32.55547392580
KAMPALA,KAMPALA CAPITAL CITY,MAKINDYE,KATWE I,0.30108434626,32.57410639500
KAMPALA,KAMPALA CAPITAL CITY,NAKAWA,LUZIRA,0.29059945485,32.65288383820
KAMPALA,KAMPALA CAPITAL CITY,MAKINDYE,BUKASA,0.29466324300,32.62451677380
KAMPALA,KAMPALA CAPITAL CITY,MAKINDYE,NSAMBYA RAILWAY,0.30886736469,32.58347169940
KAMPALA,KAMPALA CAPITAL CITY,KAWEMPE,KAWEMPE II,0.39225937137,32.56796091930
KAMPALA,KAMPALA CAPITAL CITY,CENTRAL,BUKESA,0.32500471939,32.56434049010
KAMPALA,KAMPALA CAPITAL CITY,CENTRAL,INDUSTRIAL AREA,0.32122825130,32.60356410850
KAMPALA,KAMPALA CAPITAL CITY,CENTRAL,MENGO,0.31079090329,32.56575912790
KAMPALA,KAMPALA CAPITAL CITY,RUBAGA,LUBYA,0.33280461582,32.53673750880
KAMPALA,KAMPALA CAPITAL CITY,NAKAWA,BUKOTO I,0.35569573989,32.59571486480
KAMPALA,KAMPALA CAPITAL CITY,NAKAWA,KIWATULE,0.37166952110,32.62598422810
KAMPALA,KAMPALA CAPITAL CITY,RUBAGA,KASUBI,0.34249240070,32.55078250740
KAMPALA,KAMPALA CAPITAL CITY,CENTRAL,KISENYI I,0.31419613183,32.57082079470
KAMPALA,KAMPALA CAPITAL CITY,KAWEMPE,KANYANYA,0.37800501062,32.57737228290
KAMPALA,KAMPALA CAPITAL CITY,RUBAGA,NANKULABYE,0.32958539251,32.55814866280
KAMPALA,KAMPALA CAPITAL CITY,CENTRAL,NAKASERO II,0.32592436506,32.57839622150
KAMPALA,KAMPALA CAPITAL CITY,NAKAWA,NTINDA POLICE BARRACKS,0.33960670922,32.61234977030
